_10k,10K
VolumeUp,Volume Up
VolunteerActivism,Volunteer Activism
VpnKey,Vpn Key
VpnKeyOff,Vpn Key Off
VpnLock,Vpn Lock
Vrpano,Vrpano
Wallet,Wallet
Wallpaper,Wallpaper
Warehouse,Warehouse
Warning,Warning
WarningAmber,Warning Amber
Wash,Wash
Watch,Watch
WatchLater,Watch Later
WatchOff,Watch Off
Water,Water
WaterDamage,Water Damage
WaterDrop,Water Drop
WaterfallChart,Waterfall Chart
Waves,Waves
WavingHand,Waving Hand
WbAuto,Wb Auto
WbCloudy,Wb Cloudy
WbIncandescent,Wb Incandescent
WbIridescent,Wb Iridescent
WbShade,Wb Shade
WbSunny,Wb Sunny
WbTwilight,Wb Twilight
Wc,Wc
Web,Web
WebAsset,Web Asset
WebAssetOff,Web Asset Off
WebStories,Web Stories
Webhook,Webhook
Weekend,Weekend
West,West
Whatshot,Whatshot
WheelchairPickup,Wheelchair Pickup
WhereToVote,Where To Vote
Widgets,Widgets
WidthFull,Width Full
WidthNormal,Width Normal
WidthWide,Width Wide
Wifi,Wifi
Wifi1Bar,Wifi 1 Bar
Wifi2Bar,Wifi 2 Bar
WifiCalling,Wifi Calling
WifiCalling3,Wifi Calling 3
WifiChannel,Wifi Channel
WifiFind,Wifi Find
WifiLock,Wifi Lock
WifiOff,Wifi Off
WifiPassword,Wifi Password
WifiProtectedSetup,Wifi Protected Setup
WifiTethering,Wifi Tethering
WifiTetheringError,Wifi Tethering Error
WifiTetheringErrorRounded,Wifi Tethering Error Rounded
WifiTetheringOff,Wifi Tethering Off
WindPower,Wind Power
Window,Window
WineBar,Wine Bar
Woman,Woman
Woman2,Woman 2
Work,Work
WorkHistory,Work History
WorkOff,Work Off
WorkOutline,Work Outline
WorkspacePremium,Workspace Premium
Workspaces,Workspaces
WrapText,Wrap Text
WrongLocation,Wrong Location
Wysiwyg,Wysiwyg
Yard,Yard
YoutubeSearchedFor,Youtube Searched For
ZoomIn,Zoom In
ZoomInMap,Zoom In Map
ZoomOut,Zoom Out
ZoomOutMap,Zoom Out Map
